screen,file,audit_call,status,notes
급여/일용근로정산,app/main/기능부품/인사관리서브/급여명세/일용근로정산.tsx,logAudit,OK,일용근로 정산 시 logAudit 확인
급여/급여고도화센터,app/main/기능부품/인사관리서브/급여명세/급여고도화센터.tsx,MISSING,MISSING,insert/update 9회 — 고위험 누락
급여/급여명세서발송,app/main/기능부품/인사관리서브/급여명세/급여명세서발송.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
급여/급여월마감잠금,app/main/기능부품/인사관리서브/급여명세/급여월마감잠금.tsx,MISSING,MISSING,insert/update 4회 — 고위험 누락
급여/무급결근차감,app/main/기능부품/인사관리서브/급여명세/무급결근차감.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
급여/세율보험요율관리,app/main/기능부품/인사관리서브/급여명세/세율보험요율관리.tsx,MISSING,MISSING,update 1회 — audit 미호출
급여/연말정산,app/main/기능부품/인사관리서브/급여명세/연말정산.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
급여/입퇴사온보딩,app/main/기능부품/인사관리서브/급여명세/입퇴사온보딩.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
급여/퇴직연금관리,app/main/기능부품/인사관리서브/급여명세/퇴직연금관리.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
급여/세금자동신고,app/main/기능부품/인사관리서브/급여명세/세금자동신고.tsx,MISSING,MISSING,insert 1회 — audit 미호출
급여/연차종합대시보드,app/main/기능부품/인사관리서브/급여명세/연차종합대시보드.tsx,MISSING,MISSING,update 1회 — audit 미호출
급여/미지급수당알림,app/main/기능부품/인사관리서브/급여명세/미지급수당알림.tsx,MISSING,MISSING,insert 1회 — audit 미호출
휴가/휴가관리메인,app/main/기능부품/인사관리서브/휴가신청/휴가관리메인.tsx,logAudit,OK,휴가 승인/반려 시 logAudit 확인
휴가/연차촉진시스템,app/main/기능부품/인사관리서브/휴가신청/연차촉진시스템.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
관리자/직원권한통합,app/main/기능부품/관리자전용서브/직원권한통합.tsx,logAudit,OK,권한 변경 시 logAudit 확인
관리자/시스템마스터센터,app/main/기능부품/관리자전용서브/시스템마스터센터.tsx,MISSING,MISSING,insert 1회 — audit 미호출
관리자/전자결재양식관리,app/main/기능부품/관리자전용서브/전자결재양식관리.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
관리자/회사관리,app/main/기능부품/관리자전용서브/회사관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
관리자/수술검사템플릿관리,app/main/기능부품/관리자전용서브/수술검사템플릿관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
관리자/근태차감규칙설정,app/main/기능부품/관리자전용서브/근태차감규칙설정.tsx,MISSING,MISSING,update 1회 — audit 미호출
관리자/데이터초기화,app/main/기능부품/관리자전용서브/데이터초기화.tsx,MISSING,MISSING,delete 14회 — 최고 위험 누락
관리자/데이터백업,app/main/기능부품/관리자전용서브/데이터백업.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
관리자/명세서자동추출,app/main/기능부품/관리자전용서브/명세서자동추출.tsx,MISSING,MISSING,insert 1회 — audit 미호출
관리자/법인손익현황,app/main/기능부품/관리자전용서브/법인손익현황.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
관리자/알림자동화설정,app/main/기능부품/관리자전용서브/알림자동화설정.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
관리자/팝업창관리자,app/main/기능부품/관리자전용서브/팝업창관리자.tsx,MISSING,MISSING,insert 1회 — audit 미호출
전자결재/결재메인,app/main/기능부품/전자결재.tsx,MISSING,MISSING,insert 1회 — audit 미호출
전자결재/양식신청,app/main/기능부품/전자결재서브/양식신청.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
전자결재/직인관리,app/main/기능부품/전자결재서브/직인관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
전자결재/결재양식빌더,app/main/기능부품/전자결재서브/결재양식빌더.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
전자결재/출결정정양식,app/main/기능부품/전자결재서브/출결정정양식.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
전자결재/SuppliesItemTable,app/main/기능부품/전자결재서브/SuppliesItemTable.tsx,MISSING,MISSING,insert 1회 — audit 미호출
게시판/게시판메인,app/main/기능부품/게시판.tsx,MISSING,MISSING,insert/update 18회 — 고위험 누락 (공지 발송 포함)
게시판/업무가이드,app/main/기능부품/게시판서브/업무가이드.tsx,MISSING,MISSING,insert/update 7회 — audit 미호출
재고관리/재고현황뷰,app/main/기능부품/재고관리서브/재고현황뷰.tsx,MISSING,MISSING,update 1회 — audit 미호출
재고관리/재고이관,app/main/기능부품/재고관리서브/재고이관.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
재고관리/재고월마감,app/main/기능부품/재고관리서브/재고월마감.tsx,MISSING,MISSING,update 1회 — audit 미호출
재고관리/재고실사,app/main/기능부품/재고관리서브/재고실사.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
재고관리/물품등록,app/main/기능부품/재고관리서브/물품등록.tsx,MISSING,MISSING,insert 1회 — audit 미호출
재고관리/발주관리,app/main/기능부품/재고관리서브/발주관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
재고관리/거래처관리,app/main/기능부품/재고관리서브/거래처관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
재고관리/납품확인서,app/main/기능부품/재고관리서브/납품확인서.tsx,MISSING,MISSING,insert 1회 — audit 미호출
재고관리/명세서관리,app/main/기능부품/재고관리서브/명세서관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
재고관리/카테고리관리,app/main/기능부품/재고관리서브/카테고리관리.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
재고관리/부서소모기록,app/main/기능부품/재고관리서브/부서소모기록.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
재고관리/AS반품관리,app/main/기능부품/재고관리서브/AS반품관리.tsx,MISSING,MISSING,insert/update 8회 — 고위험 누락
재고관리/자산QR관리,app/main/기능부품/재고관리서브/자산QR관리.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
재고관리/스캔모듈완성,app/main/기능부품/재고관리서브/스캔모듈완성.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
재고관리/업체별현황,app/main/기능부품/재고관리서브/업체별현황.tsx,MISSING,MISSING,update 1회 — audit 미호출
마이페이지/프로필카드,app/main/기능부품/마이페이지/프로필카드.tsx,logAudit,OK,프로필 수정 요청 시 logAudit 확인
마이페이지/index,app/main/기능부품/마이페이지/index.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
마이페이지/서류제출,app/main/기능부품/마이페이지/서류제출.tsx,MISSING,MISSING,insert 1회 — audit 미호출
마이페이지/나의할일,app/main/기능부품/마이페이지/나의할일.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
마이페이지/출퇴근기록,app/main/기능부품/마이페이지/출퇴근기록/index.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
인계노트/메인,app/main/기능부품/인계노트.tsx,MISSING,MISSING,insert/update 8회 — audit 미호출
인계노트/index,app/main/기능부품/인계노트/index.tsx,MISSING,MISSING,insert/update 7회 — audit 미호출
퇴원심사,app/main/기능부품/퇴원심사.tsx,MISSING,MISSING,insert/update 10회 — audit 미호출
마감보고,app/main/기능부품/마감보고.tsx,MISSING,MISSING,insert/update 8회 — audit 미호출
직원평가시스템,app/main/기능부품/직원평가시스템.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
OP체크,app/main/기능부품/OP체크.tsx,MISSING,MISSING,insert/update 9회 — audit 미호출
알림시스템,app/main/기능부품/알림시스템.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
알림인박스,app/main/기능부품/알림인박스.tsx,MISSING,MISSING,insert/update 6회 — audit 미호출
메신저,app/main/기능부품/메신저.tsx,MISSING,MISSING,insert/update 13회 — audit 미호출 (채팅 메시지는 제외 고려 가능)
메신저운영센터,app/main/기능부품/메신저운영센터.tsx,MISSING,MISSING,insert/update 6회 — audit 미호출
ESL관리,app/main/기능부품/ESL관리.tsx,MISSING,MISSING,insert 1회 — audit 미호출
조직도/조직도그림,app/main/기능부품/조직도서브/조직도그림.tsx,MISSING,MISSING,insert/update 8회 — audit 미호출
조직도/조직도직원카드,app/main/기능부품/조직도서브/조직도직원카드.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
