permission_key,main_menu,sub_menu,linked_screen_label_id,linked_screen_label_text,write_or_read,notes
"hr_건강검진","인사관리","건강검진","","",read,"구성원 권한 필요"
"hr_경조사","인사관리","경조사","","",read,"구성원 권한 필요"
"hr_면허자격증","인사관리","면허/자격증","","",read,"구성원 권한 필요"
"hr_의료기기점검","인사관리","의료기기점검","","",read,"구성원 권한 필요"
"hr_사고보고서","인사관리","사고보고서","","",read,"구성원 권한 필요"
"hr_계약","인사관리","계약","","",read,""
"hr_문서보관함","인사관리","문서보관함","","",read,""
"hr_증명서","인사관리","증명서","","",read,""
"hr_서류제출","인사관리","서류제출","","",write,"구성원 권한 필요"
"hr_근무형태이력","인사관리","근무형태","","",read,"추정: hr_근무형태, hr_근태 권한 필요"
"hr_연차소멸알림","인사관리","연차소멸알림","","",read,"추정: hr_연차휴가, hr_근태 권한 필요"
"hr_지각조퇴분석","인사관리","지각조퇴분석","","",read,"추정: hr_근태 권한 필요"
"hr_조기퇴근감지","인사관리","조기퇴근감지","","",read,"추정: hr_근태 권한 필요"
"inventory_현황","재고관리","현황","","",read,""
"inventory_이력","재고관리","이력","","",read,""
"inventory_수요예측","재고관리","수요예측","","",read,""
"inventory_등록","재고관리","등록","","",write,""
"inventory_스캔","재고관리","스캔","","",write,""
"inventory_발주","재고관리","발주","","",write,""
"inventory_재고실사","재고관리","재고실사","","",write,""
"inventory_이관","재고관리","이관","","",write,""
"inventory_납품확인서","재고관리","납품확인서","","",read,""
"inventory_UDI","재고관리","UDI","","",read,""
"inventory_자산","재고관리","자산","","",read,""
"inventory_거래처","재고관리","거래처","","",read,""
"inventory_카테고리","재고관리","카테고리","","",write,""
"inventory_AS반품","재고관리","AS반품","","",write,""
"inventory_소모품통계","재고관리","소모품통계","","",read,""
"inventory_월마감","재고관리","월마감","","",read,""
"inventory_내부서재고","재고관리","내부서재고","","",read,""
"admin_경영분석","관리자","경영분석","","",read,""
"admin_감사센터","관리자","감사센터","","",read,""
"admin_시스템마스터센터","관리자","시스템마스터센터","","",read,""
"admin_알림자동화","관리자","알림자동화","","",write,""
"admin_회사관리","관리자","회사관리","","",write,""
"admin_직원권한","관리자","직원권한","","",write,""
"admin_수술검사템플릿","관리자","수술검사템플릿","","",write,""
"admin_팝업관리","관리자","팝업관리","","",write,""
"admin_데이터백업","관리자","데이터백업","","",write,""
"admin_데이터초기화","관리자","데이터초기화","","",write,""
"admin_문서양식","관리자","문서양식","","",write,""
"admin_급여이상치","관리자","급여이상치","","",read,""
"admin_공문서대장","관리자","공문서대장","","",read,""
"admin_비품대여설정","관리자","비품대여설정","","",write,"재고관리 섹션과 공유"
"menu_추가기능","추가기능","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"menu_게시판","게시판","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"menu_전자결재","전자결재","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"menu_인사관리","인사관리","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"menu_재고관리","재고관리","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"menu_관리자","관리자","(메뉴 진입)","","",read,"메뉴 전체 진입 권한"
"mso","(전역)","(특수)","","",read,"회사 == 'SY INC.' 또는 명시적 권한"
"admin","(전역)","(특수)","","",read,"관리자 역할 또는 명시적 권한"
"approval","(전역)","(전자결재 전체)","","",read,"전자결재 메뉴 진입 권한"
"hr","(전역)","(인사관리 전체)","","",read,"인사관리 메뉴 진입 권한"
"inventory","(전역)","(재고관리 전체)","","",read,"재고관리 메뉴 진입 권한"
"handover_read","추가기능","인계노트","","",read,"레거시 별칭, extra_인계노트로 통일"
