"old_permission_key","old_screen_label_id","new_screen_id","new_permission_key","key_action","notes"
"hr_조기퇴근감지","39,40","hr_attendance_alert","hr_attendance_alert_read","통합","조기퇴근감지 → hr_attendance_alert_read 통합 (hr_지각조퇴분석과 동일 화면)"
"inventory_현황","64","ops_inventory","ops_inventory_read","이름변경","재고현황 → ops_inventory_read"
"inventory_이력","64","ops_inventory","ops_inventory_history_read","이름변경","재고이력 → ops_inventory_history_read"
"inventory_수요예측","70","ops_inventory_close","ops_inventory_forecast_read","이름변경","수요예측 → ops_inventory_forecast_read"
"inventory_등록","66","ops_inventory_io","ops_inventory_io_write","이름변경","물품등록 → ops_inventory_io_write"
"inventory_스캔","66","ops_inventory_io","ops_inventory_scan_write","이름변경","스캔 → ops_inventory_scan_write"
"inventory_발주","67","ops_purchase_order","ops_purchase_order_write","이름변경","발주 → ops_purchase_order_write"
"inventory_재고실사","","","ops_inventory_audit_write","이름변경","재고실사. 스크린 미매핑. 추정"
"inventory_이관","","","ops_inventory_transfer_write","이름변경","이관. 스크린 미매핑. 추정"
"inventory_납품확인서","","","ops_delivery_confirm_read","이름변경","납품확인서. 스크린 미매핑. 추정"
"inventory_UDI","","","ops_udi_read","이름변경","UDI. 스크린 미매핑. 추정"
"inventory_자산","68,69","ops_assets","ops_assets_read","이름변경","품목자산 → ops_assets_read"
"inventory_거래처","","","ops_supplier_read","이름변경","거래처. 스크린 미매핑. 추정"
"inventory_카테고리","","","ops_inventory_category_write","이름변경","카테고리. 스크린 미매핑. 추정"
"inventory_AS반품","","","ops_as_return_write","이름변경","AS반품. 스크린 미매핑. 추정"
"inventory_소모품통계","70","ops_inventory_close","ops_inventory_stats_read","이름변경","소모품통계 → ops_inventory_close 탭"
"inventory_월마감","70","ops_inventory_close","ops_inventory_close_read","이름변경","월마감 → ops_inventory_close_read"
"inventory_내부서재고","65","ops_inventory","ops_dept_inventory_read","통합","내부서재고 → ops_dept_inventory_read와 통합. 탭통합으로 키 1개"
"admin_경영분석","76,77","mgmt_analysis","mgmt_analysis_read","이름변경","경영분석 → mgmt_analysis_read"
"admin_감사센터","94,95","settings_audit","settings_audit_read","이름변경","감사센터 → settings_audit_read"
"admin_시스템마스터센터","","","settings_master_read","이름변경","시스템마스터센터. 스크린 미매핑. 추정: settings 내"
"admin_알림자동화","86","settings_template","settings_notify_auto_write","이름변경","알림자동화 → settings_notify_auto_write"
"admin_회사관리","78,79,80,82,83,84","settings_company","settings_company_write","이름변경","회사관리 → settings_company_write"
"admin_직원권한","85","settings_permissions","settings_permissions_write","이름변경","직원권한 → settings_permissions_write"
"admin_수술검사템플릿","86,87,88","settings_template","settings_template_write","이름변경","수술검사템플릿 → settings_template_write"
"admin_팝업관리","90","settings_popup","settings_popup_write","이름변경","팝업관리 → settings_popup_write"
"admin_데이터백업","93","settings_backup","settings_backup_write","이름변경","데이터백업 → settings_backup_write"
"admin_데이터초기화","93","settings_backup","settings_backup_reset_write","이름변경","데이터초기화 → settings_backup_reset_write"
"admin_문서양식","91,92","settings_approval_form","settings_approval_form_write","이름변경","결재양식 → settings_approval_form_write"
"admin_급여이상치","96","hr_payroll_anomaly","hr_payroll_anomaly_read","이름변경","급여이상치 → hr_payroll_anomaly_read"
"admin_공문서대장","25,26","work_approval","work_approval_official_read","이름변경","공문서대장 → work_approval_official_read. 추정: 레거시 별칭 approval_기안함과 연계"
"admin_비품대여설정","","","settings_equipment_loan_write","이름변경","비품대여설정. 스크린 미매핑. 재고관리 공유. 추정"
"menu_추가기능","07~22","ops","menu_ops_read","이름변경","추가기능 메뉴 진입 → menu_ops_read"
"menu_게시판","23,24","work","menu_work_board_read","이름변경","게시판 메뉴 진입. work 메뉴 통합 시 menu_work_read로 통합 가능. 추정"
"menu_전자결재","25,26","work","menu_work_approval_read","이름변경","전자결재 메뉴 진입. work 메뉴 통합 시 menu_work_read로 통합 가능. 추정"
"menu_인사관리","27~63","hr","menu_hr_read","이름변경","인사관리 메뉴 진입 → menu_hr_read"
"menu_재고관리","64~70","ops","menu_ops_inventory_read","이름변경","재고관리 메뉴 진입. menu_ops_read와 통합 가능. 추정"
"menu_관리자","71~96","mgmt","menu_mgmt_read","이름변경","관리자 메뉴 진입. mgmt + settings 분리 시 menu_settings_read 추가 필요. 추정"
"mso","","","global_mso","유지","SY INC. 전역 권한. 명명 유지"
"admin","","","global_admin","유지","관리자 역할 전역 권한. 명명 유지"
"approval","25,26","work_approval","menu_work_approval_read","통합","approval 레거시 전역 키 → menu_work_approval_read로 통합. approval_기안함/결재함과 병합"
"hr","27~63","hr","menu_hr_read","통합","hr 레거시 전역 키 → menu_hr_read로 통합"
"inventory","64~70","ops","menu_ops_inventory_read","통합","inventory 레거시 전역 키 → menu_ops_inventory_read로 통합"
"handover_read","13","ops_handover","ops_handover_read","통합","레거시 별칭. extra_인계노트(→ ops_handover_read)로 통합. 폐기 후 ops_handover_read 단일화"
